time;buy rate;sell rate
0;1,239;1,26
1;1,24749;1,26
2;1,24749;1,26
3;1,24749;1,25768
4;1,24749;1,25652
5;1,24749;1,25652
6;1,24749;1,25308
7;1,24749;1,25308
8;1,24749;1,25308
9;1,24749;1,25264
10;1,24749;1,25264
11;1,24828;1,25264
12;1,24828;1,25217
13;1,24882;1,261
14;1,24882;1,261
15;1,24749;1,261
16;1,24749;1,261
17;1,24749;1,261
18;1,24749;1,261
19;1,24749;1,261
20;1,24531;1,25687
21;1,24531;1,25687
22;1,24531;1,25687
23;1,24531;1,25409
24;1,24531;1,25409
25;1,239;1,25409
26;1,239;1,25409
27;1,239;1,25409
28;1,239;1,25409
29;1,24294;1,261
30;1,24733;1,261
31;1,24733;1,261
32;1,24733;1,261
33;1,24733;1,261
34;1,24733;1,261
35;1,24733;1,25713
36;1,24733;1,25713
37;1,24733;1,25713
38;1,24733;1,261
39;1,24733;1,261
40;1,24733;1,2625
41;1,24733;1,2625
42;1,24733;1,2625
43;1,24733;1,2625
44;1,239;1,2625
45;1,239;1,2625
46;1,239;1,25378
47;1,239;1,25378
48;1,239;1,26301
49;1,239;1,26301
50;1,25095;1,26301
51;1,25112;1,26301
52;1,239;1,26301
53;1,239;1,26301
54;1;1,25258
55;1;1,25258
56;1,11989;1,26301
57;1;1,19424
58;1;1,13734
59;1;1,1286
60;1,02061;1,1286
61;1;1,1286
62;1;1,16307
63;1;1,26301
64;1;1,26301
65;1;1,26301
66;1;1,26301
67;1;1,8
68;1;1,8
69;1,3258;1,8
70;1,3258;1,5648
71;1,3258;1,54788
72;1,3258;1,52103
73;1,3258;1,52103
74;1,3258;1,54788
75;1,3258;1,54788
76;1,40666;1,8
77;1,56801;1,8
78;1,56801;1,8
79;1,56801;1,8
80;1,56801;1,7516
81;1,56801;1,7516
82;1,56801;1,7516
83;1,56801;1,7516
84;1,4937;1,7516
85;1,4937;1,8
86;1,4937;1,69184
87;1,4937;1,8
88;1,4937;1,67509
89;1,4937;1,8
90;1,5748;1,8
91;1,5748;1,8
92;1,5748;1,8
93;1,68109;1,8
94;1,68109;1,75411
95;1,68109;1,75411
96;1,6688;1,75411
97;1,6688;1,75411
98;1,6688;1,75411
99;1,70086;1,75411
100;1,6688;1,75411
101;1,6688;1,75411
102;1,6688;1,75921
103;1,6688;1,75921
104;1,6688;1,8
105;1,6688;1,79225
106;1,6688;1,79225
107;1,6688;1,79225
108;1,6688;1,74555
109;1,6688;1,74555
110;1,6688;1,74555
111;1,68784;1,74555
112;1,68784;1,79225
113;1,68784;1,77095
114;1,68784;1,77095
115;1,68784;1,77095
116;1,68784;1,77095
117;1,68784;1,7818
118;1,68784;1,77053
119;1,68784;1,79225
120;1,68784;1,79225
121;1,68784;1,79225
122;1,69364;1,79225
123;1,69364;1,79225
124;1,70376;1,79225
125;1,70376;1,79225
126;1,6688;1,79225
127;1,6688;1,79225
128;1,4937;1,79225
129;1,4937;1,79225
130;1,4937;1,79225
131;1,4937;1,79225
132;1,4937;1,8
133;1,4937;1,8
134;1,4937;1,8
135;1,4937;1,8
136;1,63218;1,8
137;1,63218;1,72687
138;1,4836;1,72687
139;1,4836;1,63834
140;1,47212;1,63834
141;1,47212;1,70837
142;1,47212;1,70652
143;1,52481;1,72687
144;1,47212;1,72687
145;1,53026;1,8
146;1,53026;1,8
147;1,53026;1,8
148;1,53026;1,73348
149;1,53026;1,8
150;1;1,8
151;1;1,43997
152;1;1,40083
153;1,03964;1,40083
154;1,03964;1,40083
155;1;1,40083
156;1;1,51609
157;1;1,51609
158;1,07348;1,51609
159;1,07348;1,48481
160;1,13524;1,48481
161;1,13524;1,51609
162;1,13524;1,5825
163;1,13524;1,50357
164;1,13524;1,50357
165;1,07348;1,50357
166;1,07348;1,44976
167;1,07348;1,8
